id,original_title,genres1
169917,A Walk Among the Tombstones,Crime
116149,Paddington,Comedy
284276,Cake,Drama
212778,Chef,Comedy
238636,The Purge: Anarchy,Horror
218043,Left Behind,Thriller
85350,Boyhood,Drama
241239,A Most Violent Year,Action
184315,Hercules,Action
86834,Noah,Drama
205587,The Judge,Drama
232672,Blended,Comedy
195589,Neighbors,Comedy
249164,If I Stay,Drama
243683,Step Up All In,Romance
222935,The Fault in Our Stars,Romance
168530,Ride Along,Action
171274,Inherent Vice,Comedy
137094,Jack Ryan: Shadow Recruit,Action
225574,Non-Stop,Action
206487,Predestination,Science Fiction
154400,The Drop,Drama
97020,RoboCop,Science Fiction
157353,Transcendence,Thriller
193610,The Other Woman,Comedy
82703,Mr. Peabody & Sherman,Animation
189,Sin City: A Dame to Kill For,Crime
172385,Rio 2,Animation
100042,Dumb and Dumber To,Comedy
152760,The Monuments Men,War
227306,Unbroken,Drama
273895,Selma,History
265177,Mommy,Drama
228970,Wild,Drama
76649,Pompeii,Action
239571,The Best of Me,Drama
196867,Annie,Music
228326,The Book of Life,Romance
239563,St. Vincent,Comedy
136797,Need for Speed,Action
228194,The Hundred-Foot Journey,Drama
170687,The Boxtrolls,Animation
87093,Big Eyes,Drama
241254,The Prince,Thriller
242095,The Signal,Thriller
216282,Into the Storm,Action
218836,Planes: Fire & Rescue,Animation
144336,Sabotage,Action
136835,No Good Deed,Thriller
284293,Still Alice,Drama
256274,"As Above, So Below",Horror
87492,Foxcatcher,Drama
226857,Endless Love,Drama
157845,The Rover,Crime
184098,Think Like a Man Too,Comedy
271674,Suite Française,Drama
187596,Walk of Shame,Comedy
250546,Annabelle,Horror
100241,"I, Frankenstein",Horror
225565,That Awkward Moment,Comedy
200505,Draft Day,Drama
254473,Brick Mansions,Action
242224,The Babadook,Drama
226486,Tammy,Comedy
137321,"Winter's Tale",Drama
241848,The Guest,Mystery
256917,The Water Diviner,War
171424,The Green Inferno,Horror
218778,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Family
239678,This Is Where I Leave You,Drama
264656,The Homesman,Western
230179,Big Game,Action
209451,Jersey Boys,Music
222899,About Last Night,Comedy
198185,Million Dollar Arm,Drama
231576,Wish I Was Here,Drama
244539,Infinitely Polar Bear,Comedy
97370,Under the Skin,Thriller
177494,Veronica Mars,Comedy
235260,Son of God,Drama
242042,Barefoot,Comedy
217993,Justice League: War,Animation
157834,The Zero Theorem,Drama
232679,When the Game Stands Tall,Drama
177047,Decoding Annie Parker,Drama
193612,The Quiet Ones,Horror
157849,A Most Wanted Man,Thriller
282813,The Pyramid,Horror
246860,Clouds of Sils Maria,Drama
245916,Kill the Messenger,Thriller
254191,Honeymoon,Horror
210479,Locke,Drama
227735,Dolphin Tale 2,Family
288158,The Woman in Black 2: Angel of Death,Thriller
145220,Muppets Most Wanted,Comedy
246403,Tusk,Comedy
286521,5 Flights Up,Drama
236751,Heaven is for Real,Drama
188207,The Legend of Hercules,Action
253235,And So It Goes,Comedy
244566,Life After Beth,Romance
230266,Miss Julie,Drama
244783,Song One,Drama
252171,A Girl Walks Home Alone at Night,Horror
210947,Afflicted,Horror
241771,Beyond the Lights,Drama
252680,"Moms' Night Out",Comedy
238603,Earth to Echo,Family
284536,The Gambler,Thriller
209185,The Grand Seduction,Comedy
157847,Joe,Drama
270654,Parts Per Billion,Science Fiction
157099,Better Living Through Chemistry,Drama
249660,"God's Not Dead",Drama
79316,"Devil's Due",Horror
282296,My Old Lady,Romance
251321,Aloft,Drama
262340,"Mrs. Brown's Boys D'Movie",Comedy
11,Star Wars,Adventure
691,The Spy Who Loved Me,Adventure
11319,The Rescuers,Fantasy
703,Annie Hall,Comedy
840,Close Encounters of the Third Kind,Science Fiction
5902,A Bridge Too Far,Drama
11940,Sinbad and the Eye of the Tiger,Action
11009,Saturday Night Fever,Drama
12535,High Anxiety,Comedy
17689,The Gauntlet,Drama
11586,Exorcist II: The Heretic,Horror
7227,"Airport '77",Action
985,Eraserhead,Science Fiction
12707,Orca: The Killer Whale,Drama
38985,Sorcerer,Action
72277,The Last Wave,Drama
30315,Kingdom of the Spiders,Horror
16220,Wizards,Animation
12262,The Hills Have Eyes,Horror
19995,Avatar,Action
16869,Inglourious Basterds,Drama
12437,Underworld: Rise of the Lycans,Fantasy
767,Harry Potter and the Half-Blood Prince,Adventure
14160,Up,Animation
13475,Star Trek,Science Fiction
534,Terminator Salvation,Drama
17654,District 9,Action
10528,Sherlock Holmes,Adventure
19913,(500) Days of Summer,Comedy
8355,Ice Age: Dawn of the Dinosaurs,Animation
18785,The Hangover,Comedy
13183,Watchmen,Action
14161,2012,Action
12244,9,Action
13448,Angels & Demons,Thriller
10198,The Princess and the Frog,Romance
22881,The Blind Side,Drama
19908,Zombieland,Comedy
18239,The Twilight Saga: New Moon,Adventure
10184,"He's Just Not That Into You",Comedy
