id,vote_average,release_year,Profit Adj,Action,Family,Adventure,Foreign,Fantasy,Documentry,Music,Drama,Crime,Comedy,History,TV_Movie,Western,Mystery,Horror,Science_Fiction,Animation,Romance,War,Thriller
10132,5.5,1988,-979895.318618837,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10134,4.8,1989,17003155.7948791,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10135,6.3,1989,26472772.5841793,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10136,5.4,1986,109055159.276851,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10137,5.6,1999,218789027.937937,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10138,6.6,2010,423933331,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10139,7.1,2008,35028829.984318,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
10140,6,2010,260686217,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10142,6.5,1989,-6734595.73337095,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
10144,7.1,1989,301390598.964274,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10145,5.4,2004,87247945.3180774,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0
10147,6.2,2003,63403196.0426291,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
10149,6.8,1995,1930989.61948015,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10152,4.2,2003,24024152.5084196,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10153,5.6,1998,-82803349.5359468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10155,6.6,1997,-16733381.1058546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10156,6.3,1981,49577575.4770601,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10159,6.3,2003,-4840397.00779061,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10160,5.6,1989,24921930.091958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10161,7.3,1989,24798540.816454,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10163,5.2,1992,34345490.0506705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
10173,6,1990,56816649.4658857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1018,7.4,2001,6301942.16759396,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
10184,6,2009,139510555.420148,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
10185,5.7,2008,-11613394.4273239,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1
10186,5.4,2008,-6316861.6415975,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10187,5.7,2008,-3443474.55495117,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10188,6,2008,17574296.001883,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10189,6.6,2008,75579043.5405076,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10191,7.4,2010,329878759,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10192,6,2010,587600867,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10193,7.5,2010,863171911,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10195,6.5,2011,285114512.082577,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10196,4.7,2010,168502923,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10197,5,2009,-26603757.9169971,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
10198,6.5,2009,164703385.89411,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
10199,5.7,2008,-9239505.60617913,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10200,5.1,2008,155051414.113465,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
10201,6.3,2008,157985577.51322,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10202,5.8,2008,134573458.832451,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10204,5.6,2004,-43662400.6830623,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10207,5.7,1999,50895995.6204328,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10208,5.7,1999,-10091519.8116639,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
10215,6.4,1998,69560164.3920716,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
10217,6.4,1997,-2358850.8784144,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10218,6.9,1996,5986164.84105721,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10220,6.6,1998,14610173.4683353,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
10222,6.2,1989,23213333.0354786,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10225,5.5,1986,32769615.7958869,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
10229,7.3,2002,36643108.7910044,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
102382,6.6,2014,465811800.834324,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1024,6.6,1994,-2869940.0566172,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10246,6,1981,291927589.026838,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10249,6.3,1991,32021856.8386038,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10263,4.9,2005,-5072691.06156473,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
102651,7,2014,532768622.849137,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10269,6.2,1983,40283340.7587499,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
10276,6.8,1991,45967375.4918157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10281,5.4,1988,30184497.8918794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10283,4.7,1989,15830864.4513893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10285,3.9,1993,-4528387.2430467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10288,6.7,2006,-8192319.91100892,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
102899,7,2015,357513832.653914,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10294,5.9,2007,17142876.22313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
103,7.8,1976,103312441.638449,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
10303,6.1,1985,145496194.502528,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10306,4.4,1988,6719138.88814109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10307,5.8,1999,27544739.1718748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10312,6.9,1998,203721524.978186,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10313,5.8,2009,45462938.8893305,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
10314,5.6,1999,121960512.159072,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10315,7.5,2009,6577150.58643256,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10316,6.4,2011,61550049.0515409,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10317,5.7,2015,-19317911.380119,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10323,6.7,1981,62574381.086908,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10327,5.2,2003,94727269.3220778,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10329,4.8,1995,145958620.444911,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
10330,6,2003,99842646.8071104,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10333,5.9,1991,71709104.1661396,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
10336,5,1997,64988798.8154226,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
10337,5.7,1991,30603314.1981391,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
10338,6.6,1965,168515725.94291,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10342,5.3,1999,-5306589.99456874,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10345,5.5,1989,104922091.918572,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
10349,4.9,1993,-6624822.14670176,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10351,5.4,1997,14588191.5836591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10358,6,2008,18336614.4244313,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10362,6.5,2008,-8965002.9553114,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
103620,5.8,2012,-5668946.68610477,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
10366,4.5,1999,-44942542.3979309,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10368,5.7,1999,11783521.6689481,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
10371,5.8,1997,-4603516.37454109,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
103731,6.9,2013,10846473.6815502,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10375,5.8,2002,-58896141.4447198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10377,7,1992,82500897.449007,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10384,4.7,2000,-95189608.2497412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10385,5.2,2000,-5017164.58960992,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10386,7.5,1999,-61316945.1262064,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
10388,6.6,1999,-8910589.2033772,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
10397,7,1999,-15.7086341591319,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10398,6.1,1999,141170298.481067,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
10400,7.3,1999,31359985.4747496,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
